NO,Area,Nama Site,ID Pelanggan,Site Type,Jumlah Phase,Koordinat,Daya Actual (W),Area Space(m2)
84,BALI NUSRA,17DPS0181_PUSKUD_EXKEPUNDUNG_MT,17DPS0181,Outdoor,3,"lat= -8.65498036
lng= 115.22468436",2578,3
85,BALI NUSRA,17DPS0181_PUSKUD_EXKEPUNDUNG_MT,17DPS0181,Outdoor,3,"lat= -8.65498036
lng= 115.22468436",2578,3
86,BALI NUSRA,17DPS0203_PROTPANJER_PL,17DPS0203,Outdoor,3,"lat= -8.67752430
lng= 115.22944942",2401,3
87,BALI NUSRA,17DPS0203_PROTPANJER_PL,17DPS0203,Outdoor,3,"lat= -8.67752430
lng= 115.22944942",2401,3
88,BALI NUSRA,17DPS0211_PETASIKANBARAT_TB,17DPS0211,Outdoor,3,"lat= -8.70927452
lng= 115.23354158",2223,3
89,BALI NUSRA,17DPS0227_PTI_NOJAKESIMAN_PL,17DPS0227,Outdoor,3,"lat= -8.64378567
lng= 115.23801571",2396,3
90,BALI NUSRA,17DPS0233_TUKAD_AYA_TB,17DPS0233,Outdoor,3,"lat= -8.67750692
lng= 115.23900335",2611,3
91,BALI NUSRA,17DPS0267_TOHPATIIM3_PL,17DPS0267,Indoor,3,"lat= -8.64324647
lng= 115.25405753",4145,4
92,BALI NUSRA,17DPS0267_TOHPATIIM3_PL,17DPS0267,Outdoor,3,"lat= -8.64334847
lng= 115.25402153",4145,3
93,BALI NUSRA,17DPS0247_SIULAN_PL,17DPS0247,Outdoor,3,"lat= -8.61863428
lng= 115.24511694",3348,3
94,BALI NUSRA,17DPS0283_SANURIM3_EP,17DPS0283,Outdoor,3,"lat= -8.67618434
lng= 115.25876556",3675,3
95,BALI NUSRA,17DPS0283_SANURIM3_EP,17DPS0283,Outdoor,3,"lat= -8.67618122
lng= 115.25875787",3675,3
96,BALI NUSRA,17GIN0021_SINGAPADUKALER_PL,17GIN0021,Outdoor,3,"lat= -8.57810337
lng= 115.25541379",1074,3
97,BALI NUSRA,17GIN0053_BATUAN_GIN_ST,17GIN0053,Outdoor,3,"lat= -8.58415061
lng= 115.27504000",4202,3
98,BALI NUSRA,17GIN0108_KNU_YONZIPUR_EM,17GIN0108,Outdoor,3,"lat= -8.53068712
lng= 115.31650736",2478,3
99,BALI NUSRA,17GIN0129_BENG_TB,17GIN0129,Outdoor,3,"lat= -8.525835
lng= 115.33365666",1766,3
100,BALI NUSRA,17GIN0125_GIANYAR_EP,17GIN0125,Indoor,3,"lat= -8.53495614
lng= 115.32767471",5676,11
101,BALI NUSRA,17GIN0125_GIANYAR_EP,17GIN0125,Outdoor,3,"lat= -8.53488221
lng= 115.32767440",5676,3
102,BALI NUSRA,17GIN0170_TAROTEGALALANG_PL,17GIN0170,Outdoor,3,"lat= -8.38498
lng= 115.28114333",2785,3
103,BALI NUSRA,17GIN0169_BATUBULANSOAR_PL,17GIN0169,Outdoor,3,"lat= -8.61301742
lng= 115.25224048",2383,3
104,BALI NUSRA,17NGA0012_EKASARI_ST,17NGA0012,Outdoor,3,"lat= -8.25219646
lng= 114.53221196",1257,3
105,BALI NUSRA,17NGA0025_PTI_PENGAMBENGAN_PL,17NGA0025,Outdoor,3,"lat= -8.39906524
lng= 114.58980621",1242,3
106,BALI NUSRA,17NGA0044_PTI_AIRKUNING_PL,17NGA0044,Outdoor,3,"lat= -8.40227054
lng= 114.64221711",1389,3
107,BALI NUSRA,17NGA0039_NEGARA_MT,17NGA0039,Indoor,3,"lat= -8.35774495
lng= 114.62390117",4316,11
108,BALI NUSRA,17NGA0039_NEGARA_MT,17NGA0039,Outdoor,3,"lat= -8.35762357
lng= 114.62399951",4316,3
109,BALI NUSRA,17NGA0048_BUDENG_TB,17NGA0048,Outdoor,3,"lat= -8.39487292
lng= 114.65852756",1174,3
110,BALI NUSRA,17NGA0052_MENDOYO_EP,17NGA0052,Indoor,3,"lat= -8.37370925
lng= 114.68447344",3421,"12,6"
111,BALI NUSRA,17NGA0058_RAMBUT_SIWI_ROAD_TB,17NGA0058,Outdoor,3,"lat= -8.39999428
lng= 114.77870412",1469,3
112,BALI NUSRA,17NGA0061_PEKUATAN_EP,17NGA0061,Outdoor,3,"lat= -8.41542130
lng= 114.82356509",3186,3
113,BALI NUSRA,17NGA0066_PENGERAGOAN_PL,17NGA0066,Outdoor,3,"lat= -8.45686345
lng= 114.90367004",1612,3
